title,seller,stars,forks,language,last_updated,license,url,description
Alishahryar1 / free-claude-code,Alishahryar1,8569,1300,Python,2026-04-24T21:04:36.000Z,MIT license,https://github.com/Alishahryar1/free-claude-code,"Use claude-code for free in the terminal, VSCode extension or via discord like openclaw"
huggingface / ml-intern,huggingface,5186,432,Python,2026-04-24T16:55:59.000Z,None,https://github.com/huggingface/ml-intern,"🤗 ml-intern: an open-source ML engineer that reads papers, trains models, and ships ML models"
google / osv-scanner,google,9444,617,Go,2026-04-24T04:13:05.000Z,Apache-2.0 license,https://github.com/google/osv-scanner,Vulnerability scanner written in Go which uses the data provided by https://osv.dev
Z4nzu / hackingtool,Z4nzu,62223,7000,Python,2026-03-15T14:33:08.000Z,MIT license,https://github.com/Z4nzu/hackingtool,ALL IN ONE Hacking Tool For Hackers
zilliztech / claude-context,zilliztech,8951,690,TypeScript,2026-04-24T15:22:45.000Z,MIT license,https://github.com/zilliztech/claude-context,Code search MCP for Claude Code. Make entire codebase the context for any coding agent.
open-metadata / OpenMetadata,open-metadata,13316,2000,TypeScript,2026-04-24T13:29:16.000Z,Apache-2.0 license,https://github.com/open-metadata/OpenMetadata,"OpenMetadata is a unified metadata platform for data discovery, data observability, and data governance powered by a central metadata repository, in-depth column level lineage, and seamless team collaboration."
PostHog / posthog,PostHog,33055,2600,Python,2026-04-24T21:47:50.000Z,View license,https://github.com/PostHog/posthog,"🦔 PostHog is an all-in-one developer platform for building successful products. We offer product analytics, web analytics, session replay, error tracking, feature flags, experimentation, surveys, data warehouse, a CDP, and an AI product assistant to help debug your code, ship features faster, and keep all your usage and customer data in one stack."
dani-garcia / vaultwarden,dani-garcia,59147,2700,Rust,2026-04-22T12:29:35.000Z,AGPL-3.0 license,https://github.com/dani-garcia/vaultwarden,"Unofficial Bitwarden compatible server written in Rust, formerly known as bitwarden_rs"
Anil-matcha / Open-Generative-AI,Anil-matcha,7618,1400,JavaScript,2026-04-24T09:35:40.000Z,None,https://github.com/Anil-matcha/Open-Generative-AI,"Uncensored, open-source alternative to Higgsfield AI, Freepik AI, Krea AI, Openart AI — Free, unrestricted AI image & video generation studio with 200+ models (Flux, Midjourney, Kling, Sora, Veo). No content filters. Self-hosted, MIT licensed."
codecrafters-io / build-your-own-x,codecrafters-io,494602,46800,Markdown,2026-02-21T09:34:54.000Z,None,https://github.com/codecrafters-io/build-your-own-x,Master programming by recreating your favorite technologies from scratch.
deepseek-ai / DeepEP,deepseek-ai,9309,1200,Cuda,2026-02-03T07:51:04.000Z,MIT license,https://github.com/deepseek-ai/DeepEP,DeepEP: an efficient expert-parallel communication library
microsoft / typescript-go,microsoft,24998,907,Go,2026-04-24T21:16:18.000Z,Apache-2.0 license,https://github.com/microsoft/typescript-go,Staging repo for development of native port of TypeScript
forrestchang / andrej-karpathy-skills,forrestchang,83457,8000,Unknown,2026-04-20T10:05:04.000Z,None,https://github.com/forrestchang/andrej-karpathy-skills,"A single CLAUDE.md file to improve Claude Code behavior, derived from Andrej Karpathy's observations on LLM coding pitfalls."
SimoneAvogadro / android-reverse-engineering-skill,SimoneAvogadro,4838,559,Shell,2026-03-02T10:36:38.000Z,Apache-2.0 license,https://github.com/SimoneAvogadro/android-reverse-engineering-skill,Claude Code skill to support Android app's reverse engineering
lsdefine / GenericAgent,lsdefine,6837,760,Python,2026-04-24T11:58:27.000Z,MIT license,https://github.com/lsdefine/GenericAgent,"Self-evolving agent: grows skill tree from 3.3K-line seed, achieving full system control with 6x less token consumption"
EvoMap / evolver,EvoMap,6804,673,JavaScript,2026-04-24T14:25:42.000Z,GPL-3.0 license,https://github.com/EvoMap/evolver,"The GEP-powered self-evolving engine for AI agents. Auditable evolution with Genes, Capsules, and Events. | evomap.ai"
openai / openai-agents-python,openai,24983,3800,Python,2026-04-23T23:06:24.000Z,MIT license,https://github.com/openai/openai-agents-python,"A lightweight, powerful framework for multi-agent workflows"
Tracer-Cloud / opensre,Tracer-Cloud,2892,323,Python,2026-04-24T21:27:13.000Z,Apache-2.0 license,https://github.com/Tracer-Cloud/opensre,Build your own AI SRE agents. The open source toolkit for the AI era ✨
multica-ai / multica,multica-ai,20641,2500,TypeScript,2026-04-24T18:13:18.000Z,View license,https://github.com/multica-ai/multica,"The open-source managed agents platform. Turn coding agents into real teammates — assign tasks, track progress, compound skills."
NousResearch / hermes-agent,NousResearch,115052,16900,Python,2026-04-24T21:39:59.000Z,MIT license,https://github.com/NousResearch/hermes-agent,The agent that grows with you
thedotmack / claude-mem,thedotmack,66992,5700,TypeScript,2026-04-22T23:15:12.000Z,View license,https://github.com/thedotmack/claude-mem,"A Claude Code plugin that automatically captures everything Claude does during your coding sessions, compresses it with AI (using Claude's agent-sdk), and injects relevant context back into future sessions."
mksglu / context-mode,mksglu,9794,668,TypeScript,2026-04-24T18:12:41.000Z,View license,https://github.com/mksglu/context-mode,"Context window optimization for AI coding agents. Sandboxes tool output, 98% reduction. 12 platforms"
deepseek-ai / DeepGEMM,deepseek-ai,6991,930,Cuda,2026-04-24T10:41:37.000Z,MIT license,https://github.com/deepseek-ai/DeepGEMM,DeepGEMM: clean and efficient FP8 GEMM kernels with fine-grained scaling
jamiepine / voicebox,jamiepine,23103,2700,TypeScript,2026-04-22T05:06:19.000Z,MIT license,https://github.com/jamiepine/voicebox,"The open-source AI voice studio. Clone, dictate, create."
Lordog / dive-into-llms,Lordog,34232,4200,Jupyter Notebook,2025-10-10T06:25:47.000Z,None,https://github.com/Lordog/dive-into-llms,《动手学大模型Dive into LLMs》系列编程实践教程
luongnv89 / claude-howto,luongnv89,28646,3500,Python,2026-04-24T06:20:55.000Z,MIT license,https://github.com/luongnv89/claude-howto,"A visual, example-driven guide to Claude Code — from basic concepts to advanced agents, with copy-paste templates that bring immediate value."
Yeachan-Heo / oh-my-codex,Yeachan-Heo,25581,2100,TypeScript,2026-04-24T01:46:25.000Z,None,https://github.com/Yeachan-Heo/oh-my-codex,"OmX - Oh My codeX: Your codex is not alone. Add hooks, agent teams, HUDs, and so much more."
siddharthvaddem / openscreen,siddharthvaddem,32583,2200,TypeScript,2026-04-23T03:56:05.000Z,MIT license,https://github.com/siddharthvaddem/openscreen,"Create stunning demos for free. Open-source, no subscriptions, no watermarks, and free for commercial use. An alternative to Screen Studio."
shiyu-coder / Kronos,shiyu-coder,21271,3800,Python,2026-04-13T12:38:49.000Z,MIT license,https://github.com/shiyu-coder/Kronos,Kronos: A Foundation Model for the Language of Financial Markets
HKUDS / DeepTutor,HKUDS,21358,2900,Python,2026-04-24T15:25:29.000Z,Apache-2.0 license,https://github.com/HKUDS/DeepTutor,"""DeepTutor: Agent-Native Personalized Learning Assistant"""
Fincept-Corporation / FinceptTerminal,Fincept-Corporation,14312,1900,Python,2026-04-24T18:01:10.000Z,View license,https://github.com/Fincept-Corporation/FinceptTerminal,"FinceptTerminal is a modern finance application offering advanced market analytics, investment research, and economic data tools, designed for interactive exploration and data-driven decision-making in a user-friendly environment."
google-ai-edge / gallery,google-ai-edge,21973,2100,Kotlin,2026-04-23T23:04:15.000Z,Apache-2.0 license,https://github.com/google-ai-edge/gallery,A gallery that showcases on-device ML/GenAI use cases and allows people to try and use models locally.
coleam00 / Archon,coleam00,19594,3000,TypeScript,2026-04-24T15:58:37.000Z,MIT license,https://github.com/coleam00/Archon,The first open-source harness builder for AI coding. Make AI coding deterministic and repeatable.
microsoft / VibeVoice,microsoft,40959,4700,Python,2026-04-23T18:05:56.000Z,MIT license,https://github.com/microsoft/VibeVoice,Open-Source Frontier Voice AI
